Taylor(n),Interval,Mean(a_11),Mean(a_12),Mean(a_21),Mean(a_22),Mean(r_1),Mean(r_2),Med(a_11),Med(a_12),Med(a_21),Med(a_22),Med(r_1),Med(r_2)
3,0.2,4.167767114268613e-6,3.1198242591561215e-6,2.8482869481981794e-5,1.7027848787480657e-5,1.3880034188279916e-6,2.162391933901526e-5,5.67339686250404e-7,3.724844689235613e-7,5.088361450438006e-6,2.7183314715270754e-6,2.2532549560343097e-7,5.6664782713487975e-6
4,0.2,9.64730091259033e-8,6.637288993355956e-8,1.087065299424655e-6,6.269093999645066e-7,3.7276062855140544e-8,9.245324822902028e-7,6.690797220116316e-9,2.4818335657210967e-9,8.999575133331451e-8,4.7603877413115244e-8,1.9765776993913885e-9,1.0353999984830967e-7
5,0.2,1.8883964610454477e-9,1.2017887069042148e-9,3.495455755505584e-8,1.9704603248971735e-8,8.018880881621092e-10,3.187274445583402e-8,6.80362894338979e-11,1.178430168133018e-11,1.3195235271800849e-9,5.870829420713302e-10,2.178293770825381e-11,1.4980571941125151e-9
6,0.2,3.1995178339306425e-11,1.8908278990260502e-11,9.742067010898258e-10,5.373501932820176e-10,1.4184235629443827e-11,9.304548796478654e-10,4.1888932238956547e-13,1.2734916891268688e-13,1.5007998097584555e-11,7.57924778940609e-12,1.6444373632260555e-13,1.642929081089731e-11
7,0.2,4.846499323166798e-13,2.6553332932993657e-13,2.397372246677353e-11,1.2959290289598787e-11,2.1867389242832956e-13,2.367447980138034e-11,2.7285094315366234e-14,5.903956394745988e-15,1.3451332659706486e-13,8.037760796125871e-14,9.177845702934845e-15,1.5710566700317496e-13
1,0.25,0.06639511079005776,0.06602615932914728,0.18893993442210688,0.18726745271875636,0.06318984807132128,0.1850902547562807,0.004587988316390642,0.00468658338990542,0.011727202862389464,0.0062070743849478695,0.002892227431275431,0.007312819511115653
2,0.25,0.020341039687514315,0.020274211971797743,0.011175493441872835,0.010861100066302498,0.020105731124779657,0.010902482075704645,0.00012604961602452172,9.766060388004564e-5,0.00048642737949618426,0.00020842030253867555,4.746250502724927e-5,0.00043456220887611
3,0.25,1.2786919013750497e-5,9.876830789104407e-6,6.84074870033623e-5,4.831006395877293e-5,4.133555872662817e-6,6.31234930600106e-5,2.745257889141805e-6,1.6689271238225078e-6,1.2534009590182797e-5,5.712772962876733e-6,7.396737309965036e-7,1.2407973266023567e-5
4,0.25,3.62406824265934e-7,2.5622220531438984e-7,3.4373758119546526e-6,2.4151638091227457e-6,1.2940381686183435e-7,3.6134970042415847e-6,5.4755013630930904e-8,1.898057077570931e-8,2.4675049256357765e-7,1.268817873023959e-7,1.4067065653842867e-8,2.5166431601871107e-7
5,0.25,8.478722333148592e-9,5.608071572584862e-9,1.479255266715321e-7,1.0528549663688988e-7,3.227544885151154e-9,1.714993015882838e-7,6.924388402125484e-10,1.6122442633892963e-10,4.277835647346218e-9,2.414578943351233e-9,1.7980370720102127e-10,4.479363165825875e-9
6,0.25,1.6849001250745983e-10,1.0588793244463335e-10,5.592705986892982e-9,4.073890371127304e-9,6.68906518269348e-11,7.028909463200566e-9,5.818059100902609e-12,1.0357638761995064e-12,7.569879039166696e-11,3.142379316764499e-11,1.6574802905191701e-12,6.677041453444148e-11
7,0.25,2.9198045496059154e-12,1.7546566884599621e-12,1.887018988676221e-10,1.4144902664501906e-10,1.1855116900665906e-12,2.541070765745453e-10,5.535437823005861e-14,8.511462294912068e-15,9.7165955299623e-13,4.1626391949877155e-13,1.7503831263015603e-14,8.375176919549332e-13
1,0.5,0.16141401016727813,0.14242868278476625,0.24683003830821013,0.2396200310402687,0.1332460046897557,0.23928483608892787,0.033896830082834783,0.0185082641656876,0.04884560727163174,0.043893961611674956,0.011975352089158274,0.03803054823874609
2,0.5,0.03654552118225577,0.032433178806431456,0.07789233831907144,0.07670801816713234,0.031392551534283455,0.0759711112451937,0.0016838084897024203,0.0007280342697961449,0.005221971868804176,0.0031563261174099473,0.0003732884564339147,0.004418483253517281
3,0.5,0.010512651594297297,0.01018530744094809,0.011013322869874246,0.01083704440626937,0.010114831645878657,0.010876792459286728,6.311633955341446e-5,2.3560826316036996e-5,0.000325447745429636,0.00016752432314215036,1.65083762002748e-5,0.0002396480121216971
4,0.5,3.2313898146801594e-5,1.0961532153085595e-5,0.010103528927418427,0.010080404320995997,7.026078533616976e-6,0.010078487364296588,1.6641446879811448e-6,5.013023435825562e-7,1.4464246901401683e-5,6.523059875827234e-6,4.568940023694087e-7,1.2897241777805e-5
5,0.5,1.6481625721280162e-6,5.595510583009716e-7,9.605002755809926e-6,6.800146500180037e-6,3.4569323577777096e-7,5.570190156003864e-6,3.4688451148469504e-8,9.376217412044104e-9,4.447080190223739e-7,1.7007970225264547e-7,1.0213474521020033e-8,3.817219544014217e-7
6,0.5,7.127863386041107e-8,2.4759223758527396e-8,8.161965806660947e-7,5.305746691294424e-7,1.4337342785784386e-8,3.3774871972656197e-7,5.804577219204895e-10,1.558155917652909e-10,1.2878976064595591e-8,4.199057956389114e-9,1.5792022774357813e-10,1.4457330062845058e-8
7,0.5,2.684501053077285e-9,9.574285965693925e-10,6.28474855292574e-8,3.7918022712228365e-8,5.16551698243807e-10,1.77870208971527e-8,8.575256367353884e-12,2.9586736798590904e-12,3.5598922855906007e-10,9.402510496278125e-11,2.69672852690228e-12,3.9470326092272105e-10
