Taylor(n),Interval,Mean(a_11),Mean(a_12),Mean(a_13),Mean(a_21),Mean(a_22),Mean(a_23),Mean(a_31),Mean(a_32),Mean(a_33),Mean(r_1),Mean(r_2),Mean(r_3),Med(a_11),Med(a_12),Med(a_13),Med(a_21),Med(a_22),Med(a_23),Med(a_31),Med(a_32),Med(a_33),Med(r_1),Med(r_2),Med(r_3)
1,0.2,0.003565456583216392,0.013894191787000099,0.011119451281038348,0.10791762928584363,0.10743317165496187,0.10753457181275358,0.20507671401946964,0.21275423860360498,0.21161671375091173,0.002107560103325483,0.1014095981566848,0.20235017084039736,0.003091590116224051,0.007716382459739924,0.008747165435052313,0.00806301638604355,0.006070897365410626,0.003993853978351577,0.008951437295014212,0.01494215290312956,0.0148517815389941,0.0012189977271801176,0.0015523646234155732,0.003343166191198888
2,0.2,8.708376046497881e-5,0.000576705366632869,0.00042567719618540864,0.0005017976052728392,0.0008517288999059121,0.0010417780175551626,0.00033337295981242444,0.001484812827693294,0.0013030832172872932,4.729336087200407e-5,0.0003380789956942881,0.00026662885704049335,8.833643427853267e-5,0.0003932331770896099,0.00032109765254941246,0.00017206135416206764,0.0004641532545946888,0.0006535941317181549,0.0002554922032810992,0.0007357697465287479,0.0007703851363065164,2.030043276255772e-5,0.00016960589587194697,0.00021481177955848675
3,0.2,1.4725414318900228e-6,1.1217594647673971e-5,8.370709727100172e-6,2.247184914731582e-5,5.260941676656166e-5,6.335757532991707e-5,1.1754541545750253e-5,4.454518093121051e-5,3.771271750910188e-5,8.787988327406018e-7,2.1470031655338394e-5,7.536457889985144e-6,1.108565689399409e-6,8.441119184890983e-6,6.542677335900809e-6,4.385461597254862e-6,2.1676979918486145e-5,1.8163318333888094e-5,5.751089582334397e-6,2.4551360875656607e-5,2.5368624012224646e-5,3.7794991666413824e-7,5.136355728469874e-6,5.911249222275082e-6
4,0.2,2.1029338209449335e-8,1.5523919492628383e-7,1.1994470701045496e-7,8.639938854076338e-7,2.565469818594574e-6,3.2559393117210643e-6,3.394822876644643e-7,1.1638159960151854e-6,8.544123819078471e-7,1.268778420715211e-8,9.434548977859299e-7,1.9768995024832735e-7,1.2715349821258185e-8,1.091579518972673e-7,8.499427687634698e-8,1.1454948531818559e-7,3.567811280354913e-7,2.448119513502139e-7,1.1315915249824488e-7,8.166529461708791e-7,4.692447247537977e-7,4.770197222214882e-9,1.0160334678243403e-7,2.2112669215011567e-7
5,0.2,2.6835677848289484e-10,1.7335542536520462e-9,1.3989463282495096e-9,2.7859846489339817e-8,1.0467630827721919e-7,1.426565703102797e-7,8.352297966751239e-9,2.6488402042642846e-8,1.695853560803683e-8,1.4901181602610933e-10,3.263437435441921e-8,4.2606593727053855e-9,1.24910247947744e-10,1.0769379734623039e-9,8.530043833268002e-10,1.7076334670063984e-9,4.19625341607729e-9,4.904801841345825e-9,2.0510268271691074e-9,1.84510317683691e-8,8.809770947141264e-9,4.430454583612383e-11,1.5945830257395423e-9,3.7213685672076607e-9
1,0.25,0.10445975601559607,0.11436656492757527,0.10794952997429937,0.20814213288479416,0.2172931984708244,0.21976118331994082,0.11123737247192492,0.12694354519142942,0.1147521776445493,0.10315975669684782,0.20475457542964165,0.11247208616319355,0.004164528244591882,0.014084671037444336,0.004686080593672693,0.012245622361885936,0.02657932513988509,0.031137017343272587,0.009393566298155916,0.0231423263987009,0.016868523242838752,0.004070151882740971,0.006638852936690183,0.007481872752003849
2,0.25,0.10013296218402104,0.10039551696783491,0.10025742799001887,0.20047845652773466,0.20266146546245406,0.20164666088502647,0.20042721467890628,0.20088243361163788,0.20078772747516077,0.10006900045340388,0.20081268941625136,0.20038090155997282,9.641890653786149e-5,0.0002621664568587698,0.00013411241379056942,0.0006384439767985878,0.0038486542466299655,0.0016886830904154285,0.0004576897751715112,0.0012660207793844728,0.001083403771288475,7.059704789053715e-5,0.0010276330322350972,0.0004085411640434637
3,0.25,8.334507332865928e-5,0.0004734041143768091,0.00022912626865495463,0.0004768257164474879,0.003113740217751957,0.0022716966316027147,0.00017959938042152868,0.0014913341063511024,0.0008213419382403903,2.0813062047819765e-5,0.0003225854210624093,0.00041880033843228316,1.7421183840196207e-6,6.010745367154572e-6,2.941626593107031e-6,1.440389099328016e-5,7.013932232366927e-5,4.8547406574123484e-5,1.8216074401251625e-5,5.330042306876708e-5,4.174834658611252e-5,8.73270453044799e-7,2.5621932782779895e-5,1.668644304330304e-5
4,0.25,1.9891239073881e-6,1.1352131156577041e-5,5.49242141895569e-6,1.976104191253315e-5,0.000129651087803512,9.334007009189978e-5,1.0333365932617444e-5,7.205325519265941e-5,3.590462719241898e-5,4.877245032167293e-7,1.4566397915033679e-5,3.2030430547179455e-5,2.990873257281347e-8,1.1752471196049425e-7,4.737037846740529e-8,5.455583124548386e-7,3.0789225124244294e-6,2.966654355851531e-6,4.592238911689326e-7,1.6465943399580548e-6,1.1474368399318715e-6,1.4576991328257535e-8,8.208289876094472e-7,4.5890117479704676e-7
5,0.25,3.5851801545801973e-8,2.0525910428099866e-7,9.935219854432544e-8,6.389047927625692e-7,4.198308110353302e-6,2.9572365429840274e-6,5.685904324092525e-7,3.5201648213139146e-6,1.6033792684417537e-6,8.707230126260283e-9,5.307990761393542e-7,2.05858119590562e-6,4.262689584714171e-10,1.6587459104178018e-9,6.137640686103929e-10,1.702020328682168e-8,1.0465525365401732e-7,9.649883631129145e-8,9.919935174466415e-9,3.2315134596321814e-8,2.52954860784091e-8,2.08337743730145e-10,1.9819767791396207e-8,9.516913488341709e-9
1,0.5,0.14038707672773232,0.14946927500040455,0.12256487069692515,0.3377194870315522,0.34970132021764816,0.3263144075646335,0.3354235285635216,0.3587996380313229,0.35622596266001116,0.11912361197828988,0.3265984263049602,0.3370665556455565,0.02432755262330782,0.03133791158688322,0.02224150519312094,0.07306607579776031,0.08387384340131265,0.05798349659799085,0.043651400596337236,0.14140463619088095,0.0717777742297702,0.015637713508656073,0.06578256520640227,0.06708509218559645
2,0.5,0.008762557342281313,0.0042174738937361175,0.002936031493483335,0.023347388658922847,0.012353297383001114,0.011825679900167205,0.3114338583347386,0.3084512759247315,0.3089319202693389,0.0021232406493782246,0.008324092825092019,0.30901368780826965,0.00242443114567036,0.002411991207084201,0.0006056593772431236,0.004036503515211256,0.011456928778767743,0.0049141581125489026,0.010042774324459302,0.019194875090652902,0.017628698440647114,0.00042146730591291476,0.0034264015945725435,0.01856084958463589
3,0.5,0.0007038935198278114,0.0002671541351199999,0.00021377654702137229,0.0024334278122904764,0.0011861485173481185,0.0011520071000311273,0.20117606729447152,0.2038938151978114,0.20086126079682493,0.0001464052304850396,0.0007856823611109944,0.20294862386139484,8.64712671840431e-5,6.799248685390835e-5,1.895350464340076e-5,0.0002656468771409601,0.0008644016338442378,0.00040594825461258633,0.0009000386450256125,0.00182790202873151,0.001448058342592502,1.0729188882529372e-5,0.0002344894603776976,0.0020215566544325393
4,0.5,4.4832297049713054e-5,1.4410175113282542e-5,1.3605845109893171e-5,0.0001995132157357838,9.131865007838732e-5,8.999076251574932e-5,0.0010017240418320132,0.003202504136633254,0.0033536663141518026,9.129812341752476e-6,6.367875911647727e-5,0.0023176506553942776,2.234803271747287e-6,1.8442343745866337e-6,1.1719902808144186e-6,1.963425294779051e-5,4.464191738027793e-5,2.0558394235887685e-5,8.579344392965916e-5,0.0001737913675182278,9.773079987762328e-5,4.0470903113966166e-7,1.9516451447122816e-5,0.00019507692096765682
5,0.5,2.2334252992447604e-6,6.315228502595927e-7,6.866284578554279e-7,1.3176234732231054e-5,5.919848727250365e-6,5.801893214712975e-6,0.00014097853909093437,0.00045584070391242813,0.00047488683637037226,4.5626818431477086e-7,4.291595767421267e-6,0.00032629521086144613,4.5943844794289616e-8,2.4214682194068536e-8,2.3418647111475054e-8,8.620964543261028e-7,1.5145995275403646e-6,8.093797393251209e-7,6.776090718165291e-6,1.3533239705700577e-5,4.979190939028581e-6,7.730216246233384e-9,7.848302077612868e-7,1.2949002973781592e-5
